grb_name,trigtime,duration,slc_index,pe_duration,pastro,pbat,classification,gbm_catalog,ra_median,ra_err_plus,ra_err_minus,dec_median,dec_err_plus,dec_err_minus,ra_max,dec_max
GRB130213906,2013-02-13 21:43:56.288669+00:00,2.671,,4.0,0.9999974752266316,0.0463078771846065,GRB3,GRB,107.99907729534344,4.467469549534542,4.622513938083344,-2.8738744666477567,5.476303526910812,5.192475602285529,109.25905279556372,-3.478468665164017
GRB130213946,2013-02-13 22:41:39.199735+00:00,1.086,,1.13,1.0,0.0006764684099397,GRB1,,323.00094693937126,8.618558785795244,7.581903353472967,-34.0393041916239,7.044499299684723,8.15276464851015,319.99377184327955,-32.66217081337961
GRB130214137,2013-02-14 03:17:05.697523+00:00,4.869,,4.8500000000000005,0.9880960407038396,0.000689446745161,GRB5,GRB,315.9643178896534,7.485014845711248,7.1341182797524425,11.750178755663274,8.32164636982585,8.618158272365417,315.7124512984371,11.36341844792856
GRB130214800,2013-02-14 19:12:25.444884+00:00,6.573,,8.21,1.0,1.0,GRB5,GRB,58.42698275865256,0.6781293306147447,0.6924270601685691,-7.904169542338383,0.6888991678103835,0.8210520514348723,58.43443215014946,-8.005505021905936
GRB130215456,2013-02-15 10:56:50.253254+00:00,0.804,,1.2,1.0,0.8992859826038614,GRB5,SFLARE,327.70750534961235,1.7978761544442818,1.9738023631354624,-5.081101621556558,1.7813562952877562,1.5896861168679894,328.7997808007507,-5.46227608877521
GRB130217688,2013-02-17 16:31:18.966792+00:00,1.086,,1.44,1.0,0.2861789650301474,GRB3,GRB,101.0225307633849,2.670941212339301,2.5496777163140507,-3.841433815683398,3.446867844135008,3.3354926210219102,100.41199193464271,-2.8684016126419465
GRB130219626,2013-02-19 15:01:13.943595+00:00,0.133,,0.13,1.0,0.9834277886305928,GRB5,GRB,199.9275197983885,7.662973884882945,8.229436471684608,11.847378989952157,7.082799792560243,7.188633130292445,203.07491398175264,11.568279403413216
GRB130219775,2013-02-19 18:35:52.008680+00:00,0.098,,0.14,0.999964826388926,0.274707436327104,GRB3,GRB,303.95916687665374,7.431356300415132,7.413962308681903,28.918531381211707,5.255935226839931,6.694047987409917,304.03159912162124,29.252131924866177
GRB130224370,2013-02-24 08:53:07.162306+00:00,6.573,,8.21,1.0,,GRB5,GRB,200.1870411612041,3.1419668538500503,3.2431098581768367,54.250247769008645,1.5633488121453496,1.73020798103817,199.3015800750629,54.18385601164217
GRB130226009,2013-02-26 00:13:21.176228+00:00,6.573,,8.21,0.9096806427465316,0.2580070773343197,GRB5,,205.4451336124032,12.46363234512009,8.777213058084811,54.851943226411656,5.539356214747684,5.587675781258376,199.0355443234293,55.221989243688085
GRB130228213,2013-02-28 05:06:11.394055+00:00,0.179,,0.26,1.0,0.0054659292087874,GRB3,GRB,245.0089332164419,2.541641141726757,2.702279750706964,-52.161570663709526,2.406828544247169,2.354012207640217,245.33833577468195,-52.87421683454264
GRB130302364,2013-03-02 08:44:30.578580+00:00,6.573,,7.33,0.9997004217598372,0.0203194373829132,GRB6,,334.3474373749195,21.191877304057925,68.81322381216381,-37.83497794413387,47.56415667922563,16.927813625743873,358.7009664411004,-44.0250706709534
GRB130304658,2013-03-04 15:46:55.159556+00:00,6.573,,6.54,1.0,0.0103085822702763,GRB3,GRB,170.39895378767272,9.466487796241609,8.489012080785358,-63.47990332789153,2.9109048687465204,2.95451528078474,167.59112389231177,-63.06199812032007
GRB130305526,2013-03-05 12:37:52.419563+00:00,6.573,,8.21,1.0,0.0016884666576016,GRB5,GRB,66.91459438571026,3.9948165832508096,5.973200020364715,1.0150231829406389,6.971337908392818,6.047307151211422,69.39508121622463,2.0116836335336163
GRB130307126,2013-03-07 03:01:44.583296+00:00,0.327,,0.35,1.0,1.0,GRB6,GRB,145.38227239933332,5.416996638512728,6.113686523788715,14.292041378925864,3.1896474995528603,3.902930469880827,148.30297132262623,15.842477152925
GRB130313165,2013-03-13 03:57:33.922265+00:00,3.606,,3.5500000000000003,1.0,0.0237170094378308,GRB5,,334.8873940511151,7.034454014160815,6.038053149614086,29.661254244992698,2.228134657168315,2.236030370838108,337.22396149969603,29.15110357450086
GRB130316875,2013-03-16 21:00:37.062406+00:00,0.441,,0.44,0.962565141066766,0.9834277886305928,GRB7,,265.87072751487034,10.519313135795244,8.723022262839038,16.100512055736434,10.713419449039758,10.465653307763102,262.1864186829969,14.89200045910766
GRB130316982,2013-03-16 23:34:23.830177+00:00,6.573,,8.21,0.993806684426858,,GRB5,,121.526983077559,15.120230186083331,12.07425944686915,-64.37707747335452,5.771193903020553,4.746007386144342,116.62873263604136,-65.34106015557155
GRB130320796,2013-03-20 19:06:39.373820+00:00,6.573,,8.21,0.999936597673588,0.0530614977255559,GRB5,,344.50245733526833,4.089524806920849,4.390854559568027,25.39098177182339,4.217696441864288,4.369316495253152,347.3955490792071,27.48949984407681
GRB130322056,2013-03-22 01:20:20.656136+00:00,2.671,,3.62,1.0,0.198764611561252,GRB1,,147.5186032408956,4.708699836138408,5.533996799391616,46.26123175015776,3.288178792386674,3.513404174738781,148.58662110134873,46.6769314668647
GRB130325005,2013-03-25 00:07:46.794071+00:00,0.098,,0.1,0.9999974752266316,0.1504811658004816,GRB3,GRB,70.5823833885027,35.54596302118735,24.349294888599857,67.05702776601933,8.201140715289839,6.795538346595329,59.59422756962678,65.69755806515926
GRB130325203,2013-03-25 04:51:57.240214+00:00,4.869,,4.8500000000000005,1.0,0.9962507917115806,GRB5,GRB,130.67355781005935,0.905147319036331,0.66470685497859,-21.95370032385984,1.179215216602131,0.8284866075733461,131.0145226549286,-21.7753116182224
GRB130327006,2013-03-27 00:08:28.585320+00:00,6.573,,5.84,0.958860063706926,0.2134945768951264,GRB3,,340.7005102426596,8.797125885340677,9.686109354262044,50.49154838685642,9.356338957394478,8.72674431233149,340.77988913926777,49.80301700462179
GRB130331567,2013-03-31 13:35:49.291890+00:00,2.671,,4.0,1.0,0.9834277886305928,GRB5,GRB,159.80587069245934,1.6392459055424808,1.5839884797495358,30.58759159688384,0.5812493372182317,0.5925923074680917,158.98458977235816,31.28746623510513
GRB130401571,2013-04-01 13:42:51.248541+00:00,4.869,,4.8500000000000005,0.9023757542598776,0.1458005327430027,GRB5,,134.01518761824198,7.490015274175846,6.977855719342614,25.292838176858943,12.532421692251331,11.012304097796363,134.76164217597272,28.43014085162031
GRB130404428,2013-04-04 10:15:40.397892+00:00,3.606,,3.94,1.0,0.005892717120677,GRB5,GRB,29.650985488483634,2.454925683787735,2.480641077496305,3.3668117028769617,2.0554249627085697,2.00550004937131,29.703077933342044,2.6941918259067226
GRB130404877,2013-04-04 21:02:10.973087+00:00,0.073,,0.1,0.997463921093116,0.1640330461065361,GRB5,GRB,41.599304088622176,10.307496677491152,10.390195488348631,16.646322902993216,13.36760547803987,13.591159420090538,42.88915729212183,16.712521323527817
GRB130406334,2013-04-06 08:00:36.934584+00:00,6.573,,6.93,1.0,0.2761424649562832,GRB5,GRB,101.35584233080796,2.934809062154784,2.9055624277125816,-40.77235095765598,2.210707366233528,2.0119955316907223,101.4316075657746,-40.17292452870039
GRB130406354,2013-04-06 08:29:36.549634+00:00,3.606,,2.46,0.999998785812402,0.9377845269973402,GRB5,GRB,125.42227745418128,6.629832007264099,7.514016491740861,35.108611574461754,5.049266709481984,4.362368560299778,125.2164252877024,34.755290171651424
GRB130408653,2013-04-08 15:40:23.351765+00:00,1.086,,1.62,1.0,0.0007461532758602,GRB5,GRB,128.34740243863644,8.900265495028464,9.96904432195096,66.93294890814913,2.5976313579202355,2.654324778476365,132.3820864784986,66.48588921232758
GRB130416230,2013-04-16 05:31:23.818933+00:00,6.573,,6.18,0.9999987925797676,0.0179741544747255,GRB5,,24.940815760517424,3.5791701220559347,3.852315337281048,5.209397990331762,4.242062176614217,3.699708151633266,24.2714067898221,2.655307736181155
GRB130416690,2013-04-16 16:34:05.859118+00:00,2.671,,4.0,0.9073760965545464,0.0036262666766565,GRB3,GRB,83.67596331403124,8.944757370407913,9.334288604653082,37.17532292440781,4.642614465454166,4.637490356654681,85.53214294011255,36.37296280447063
GRB130416770,2013-04-16 18:28:53.237870+00:00,0.133,,0.05,1.0,1.0,GRB6,GRB,45.59141602514558,3.799151941289701,4.532287286704545,-22.92587981173962,4.480269317606865,3.4015190450780644,47.69302114681837,-25.20971380665617
GRB130420422,2013-04-20 10:08:10.343931+00:00,2.671,,2.97,1.0,0.0020952586145803,GRB5,GRB,119.2051621834416,7.633585328332359,8.114077971040558,-69.36578628437155,3.454002318992053,2.653903178666553,123.97794451988082,-70.96513010359489
GRB130420539,2013-04-20 12:56:34.091456+00:00,4.869,,5.11,1.0,1.0,GRB5,GRB,195.40225247296144,6.734983815878536,6.9101833292032495,51.26770491808183,2.538421415401636,3.1805426347964314,196.7098996801172,51.599931128766606
GRB130502743,2013-05-02 17:50:31.940403+00:00,3.606,,3.5500000000000003,1.0,1.0,GRB5,GRB,141.89111410716723,2.408306453000506,2.0467867623209486,1.3037348153767052,3.3070777850684294,3.747693683447066,141.12391360825777,2.207534844297784
GRB130502841,2013-05-02 20:11:02.927170+00:00,0.016,5.0,0.018,0.9900519729357434,0.0044901063925973,GRB2,,245.4588802520635,47.62194164185704,18.74851411158525,-51.31091198396269,29.75778064062733,9.010492894786664,238.5844585535415,-55.41440224756652
GRB130503214,2013-05-03 05:08:28.936461+00:00,0.098,,0.11,0.9920858500609264,0.0001243888426486,GRB5,GRB,233.9964168976162,10.557956447258393,9.94195888781772,-4.739114299704179,12.595335774191978,11.025191850483886,232.4047080479316,-6.541710517628925
GRB130504314,2013-05-04 07:32:03.236811+00:00,1.466,,1.05,1.0,1.0,GRB6,GRB,345.0698463512613,1.5812319110733029,1.4825961031845054,-2.849155199991685,1.1682435597429273,0.8778400747888555,344.95709362060234,-2.85492088778861
GRB130507861,2013-05-07 20:40:31.148968+00:00,0.098,,0.11,0.9985545549072272,0.3219127308306105,GRB5,,159.1604391524945,12.809920592608536,15.921516833561924,31.685383988744903,11.750809194528577,13.250547534316638,164.90364432057706,40.22857982514833
GRB130510625,2013-05-10 15:00:07.052612+00:00,6.573,,6.93,0.9963976764409218,0.9834277886305928,GRB5,,209.84256667817112,4.520522475306251,4.796942347760478,7.743605219532911,7.940992279953814,6.22197458246453,210.1371607141902,7.811804155404207
GRB130510877,2013-05-10 21:03:25.993390+00:00,6.573,,8.21,1.0,0.0006397565838924,GRB3,GRB,107.91839483891808,1.432912309777052,1.3683099706608033,-8.561386790969946,1.919938288122757,1.9457007982545456,108.36130405480245,-9.021582033361446
GRB130514560,2013-05-14 13:26:32.658011+00:00,1.086,,1.44,1.0,1.0,GRB5,GRB,148.8564331722928,2.402884021926837,2.3589462142712705,-19.859214281850253,3.2548225149370147,2.582843570578952,148.94138493437595,-20.1545873017231
GRB130515056,2013-05-15 01:21:17.909702+00:00,0.133,,0.15,1.0,1.0,GRB5,GRB,289.5474047939904,3.6903956019187376,3.900889113727885,-49.7560337420309,2.383056815564516,1.4900502259872752,290.22847230813824,-50.0410690067406
GRB130516562,2013-05-16 13:28:47.466480+00:00,0.327,,0.32,1.0,0.2803252114616175,GRB6,,140.39620708788897,21.5628995792676,17.767270045627072,-65.58744556367219,5.724513541104017,7.180246006786149,143.14044423322025,-62.56470186903925
GRB130518551,2013-05-18 13:13:09.504103+00:00,1.979,,1.95,1.0,0.0075913421098716,GRB6,GRB,273.0627429171678,1.9514057882584552,2.42395759669364,-14.648116113144464,2.041253166285218,2.009503104163951,274.0011634333496,-14.86595617364906
GRB130522510,2013-05-22 12:14:46.766390+00:00,1.979,,2.96,0.9415681336209304,0.2805650641581501,GRB5,GRB,138.28858967964723,1.5025320857704685,1.5933163105498238,15.303993289048304,1.6395839811263233,1.748441497716268,138.3079203492695,14.770098543759634
GRB130523095,2013-05-23 02:16:27.817871+00:00,1.979,,2.7,1.0,0.201535120107472,GRB5,GRB,24.44450920474588,1.9372340997136133,2.269662663244919,26.558899036558195,1.5045971129186384,1.313776848160689,25.30331036200304,26.192087758366327
GRB130523198,2013-05-23 04:45:44.160477+00:00,3.606,,4.87,1.0,,GRB5,GRB,35.182809709514224,4.068408936653256,1.2446255921133442,-62.52869216472958,0.6174932578328125,0.6698863315211057,33.93201899045494,-62.249536995862016
GRB130528695,2013-05-28 16:41:28.712329+00:00,6.573,,8.21,1.0,0.999991781927689,GRB5,GRB,69.20980704898979,5.847902335175974,10.664078532869638,79.84483338255492,1.905006420157349,1.879240954652772,72.48749496005537,79.58720565640843
GRB130609129,2013-06-09 03:05:10.134088+00:00,2.671,,4.0,1.0,1.0,GRB5,GRB,149.56362872942353,3.4582323565064144,3.384031081458801,27.64020029510788,3.937745401681319,3.559099340538566,150.02204059809264,27.55876625529507
GRB130610134,2013-06-10 03:12:16.054185+00:00,6.573,,8.21,1.0,0.1537997176238623,GRB5,GRB,225.28680901763263,1.8076373976488185,2.096141984235686,26.436553122341845,1.8953260200273725,1.9256565330453093,226.2268048252004,26.43592222843965
GRB130612141,2013-06-12 03:22:22.997817+00:00,2.671,,4.0,1.0,0.0013194633006783,GRB1,GRB,259.4017870890839,4.56229071728518,4.257748133919819,20.20799482145677,4.726609448986373,4.385269625826142,259.0150945720137,20.9723303865044
GRB130617564,2013-06-17 13:32:49.647909+00:00,0.596,,0.63,1.0,0.0555901103374936,GRB5,GRB,80.46407303720932,4.863454627222509,5.457184694683264,-57.35487426575381,2.5215296273919208,2.520781070086862,81.06813297083215,-57.752860256563096
GRB130620498,2013-06-20 11:57:07.220369+00:00,1.466,,1.62,1.0,0.0127825917748412,GRB3,GRB,55.97401915183124,8.818270354271775,9.571667325470427,65.9034169945771,3.936588066853062,4.429383114829605,54.732735854737086,66.41696215439096
GRB130622615,2013-06-22 14:45:52.940066+00:00,1.086,,1.04,1.0,0.2806530664422612,GRB3,GRB,306.9672794586825,4.9458769788228665,4.853419347020406,22.399872073659576,5.972157998990639,5.335021528755377,305.9645001088589,21.04952014729536
GRB130624093,2013-06-24 02:13:58.605727+00:00,6.573,,8.21,1.0,0.0225077106804558,GRB5,GRB,333.4715813197588,7.584145848980086,9.93159332001619,10.123544050595385,5.871669489453071,6.347615047580057,334.7583535418901,10.411937230019266
GRB130626452,2013-06-26 10:51:03.839123+00:00,0.179,,0.17,1.0,0.999995419350618,GRB5,GRB,265.50749834546536,6.642830806765062,6.896762887478985,1.0333935812854798,9.335983811980231,8.738326417268908,265.3731267353287,0.1767163591831124
GRB130627372,2013-06-27 08:55:06.850111+00:00,6.573,,6.54,1.0,,GRB5,GRB,174.83488378705417,2.417693004927997,3.4779638675409785,-46.60913817419397,2.008647699631851,1.90133836580366,176.76917903676843,-46.97127530178732
GRB130628860,2013-06-28 20:38:01.798398+00:00,0.04,,0.04,1.0,1.0,GRB6,GRB,307.2416001583188,4.694412454290614,6.562428756740076,-0.7155427152629219,3.547129108028485,3.269653323157044,307.4595813839977,-1.0053887748931736
GRB130701263,2013-07-01 06:19:10.560540+00:00,6.573,,8.21,0.99881185962678,,GRB5,,357.2275196832613,1.849062212302158,2.536616642396268,-36.76411308974584,5.228655324816767,3.751826654715977,358.8964042641689,-38.769879350700094
GRB130701761,2013-07-01 18:15:31.215218+00:00,1.086,,1.08,1.0,0.0447630049466911,GRB6,GRB,357.87491025782816,0.9134265896257716,1.0196677743613805,7.226194462695337,0.6046928560978717,0.6523695219234629,357.4639690520421,7.286566380853689
GRB130702951,2013-07-02 22:48:59.410822+00:00,2.671,,3.81,0.9973464366751472,0.0537060375675545,GRB5,GRB,302.8942046115807,7.472180004673362,7.749526393735266,9.27934225829237,9.48881268633982,8.984013922459816,302.9234623851272,8.3625744652106
GRB130705398,2013-07-05 09:33:03.990238+00:00,0.133,,0.14,1.0,,GRB5,GRB,61.736639408501695,7.479376012884465,4.683866576549526,36.47376972424629,3.9563781034593646,3.4403089835650675,57.87694295946805,36.4555349496144
GRB130707839,2013-07-07 20:08:37.643970+00:00,6.573,,6.93,0.9762913482996406,0.0030156819773139,GRB5,,67.44307068148565,25.83028110100652,27.0398773937874,2.1793034026054725,20.838397090762363,23.671455242350145,41.65669459230914,4.435222683026012
GRB130708488,2013-07-08 11:43:09.441075+00:00,6.573,,8.21,1.0,0.9962507917115806,GRB5,GRB,17.541333616514482,1.4946880052760676,1.6803331475187946,3.7670312437801368,1.7903475649461935,1.6151380911366693,17.880141194899196,3.409001747643172
GRB130710732,2013-07-10 17:34:19.909951+00:00,0.003,11.0,0.003,0.999960177521744,0.0101771250893727,GRB2,,284.8257693157663,37.20520012833544,36.306260065026606,-4.354813461504278,31.556662346160543,35.69422385381239,283.05294673302194,-1.3058993232154918
GRB130711029,2013-07-11 00:41:46.631247+00:00,4.869,,4.8500000000000005,0.9014687042590264,0.2737113293354918,GRB5,,210.05729337854865,4.982855281583738,6.318919605583034,-1.6202873345132691,10.039650445409228,9.168442281131927,210.1126657884932,-2.976265258337442
GRB130716352,2013-07-16 08:26:19.838115+00:00,6.573,,8.21,0.9996930192502038,,GRB5,GRB,342.2021388686493,8.695884170367549,11.126420662075075,45.86777465793544,3.329511953314615,2.968222113339245,343.0113698622355,45.99582319709518
GRB130716442,2013-07-16 10:36:53.678881+00:00,0.596,,0.61,1.0,1.0,GRB5,GRB,172.0810934179724,6.851835623970885,10.781941457382828,65.87119186123472,4.956303851854216,5.36507214495019,175.39954101531077,70.35647849129148
GRB130717734,2013-07-17 17:36:20.007927+00:00,0.441,,0.6,0.9503306895212617,0.3216666529386839,GRB3,GRB,261.6178855435384,9.145239801764603,9.106322917269836,-22.082383632994823,12.42434565233169,15.123964350976983,265.2538410419336,-13.81629733466821
GRB130718049,2013-07-18 01:11:07.314872+00:00,3.606,,3.5500000000000003,0.9709460008502117,0.9804061968126176,GRB5,,248.5870841955929,30.92227895416869,18.32216634400038,1.103532332636869,16.969656862986504,28.945489381430825,234.6837875973561,4.605887018392281
GRB130720116,2013-07-20 02:46:42.371099+00:00,2.671,,3.81,1.0,0.7509254737771273,GRB5,GRB,254.46722947983392,4.884937753810618,5.4137155449363945,13.016020282762646,3.819584470645928,4.105079717079232,253.50640637060923,13.558596578406773
GRB130722990,2013-07-22 23:46:11.791450+00:00,1.086,,0.92,1.0,0.1110735534494733,GRB5,GRB,352.5883777451086,1.3238212021945517,1.6055739568788,-21.714023066473075,1.732951356305378,2.004208820431508,352.57270482969767,-21.83227163430136
GRB130723092,2013-07-23 02:12:35.324575+00:00,6.573,,3.93,1.0,0.0946350758577491,GRB5,GRB,207.5868048964461,2.6329029026733792,2.773903480135516,-24.007254879464067,2.405720850207711,2.43313426812529,207.15029806184828,-23.350068668463468
GRB130725527,2013-07-25 12:38:43.018465+00:00,2.671,,2.44,1.0,0.0095248614746503,GRB3,GRB,18.782682701106097,6.168279486725432,5.504371936862464,68.34015350164184,1.5028911809706642,1.4439007364278922,17.30116757148926,68.31061620254178
GRB130726588,2013-07-26 14:06:46.293263+00:00,1.979,,2.04,0.9992004478752772,,GRB3,,334.0675269576354,15.562272776740317,17.481268517981334,64.60729128526425,10.850130133767196,11.984680644598429,333.23414826802883,63.51577206950093
GRB130730243,2013-07-30 05:50:19.042034+00:00,6.573,,6.93,1.0,0.2580067164071675,GRB5,GRB,127.54161796442474,2.981855161705397,6.361991067552211,-59.77962087523616,1.0262637383571305,1.0912051763481116,127.86602136578156,-59.594445196827394
GRB130731665,2013-07-31 15:56:53.423246+00:00,6.573,,8.21,1.0,,GRB1,,157.3632331340862,9.25627045362944,9.824362826908695,55.01749168696942,6.143933523457598,6.262304421001822,157.3370449850595,54.86628873909699
GRB130802730,2013-08-02 17:31:52.797433+00:00,0.073,,0.09,1.0,,GRB5,GRB,81.78030372727704,13.000050450832047,9.064228018543815,-12.197564667561664,9.039848275983983,7.67811937638691,82.63794344338336,-15.058873941468136
