|name        |gcn_name  |time                   |ra      |dec     |error_radius|redshift|        t90|        t90_error|        fluence|        fluence_error|
|GRB130310840|GRB130310A|2013-03-10 20:09:41.003|249.1022| 24.0312|      0.4700|        |     16.000|          2.56100|    1.12950e-05|          6.70670e-08|
|GRB220527387|GRB220527A|2022-05-27 09:17:15.003| 37.5029|-42.7042|      0.0800| 0.85700|     10.496|                 |               |                     |
|GRB190727846|GRB190727B|2019-07-27 20:18:17.001|236.0301| 13.7536|      0.2800|        |     35.073|          0.57200|    6.21530e-05|          2.07530e-08|
|GRB140825288|GRB140825A|2014-08-25 06:55:25.000|217.7958|-17.7165|      0.5700|        |     14.000|                 |               |                     |
|GRB130821674|GRB130821A|2013-08-21 16:10:28.001| 36.6830|-33.0269|      0.1800|        |     87.041|          1.14500|    5.60700e-05|          9.15210e-08|
|GRB171010792|GRB171010A|2017-10-10 19:00:50.003|205.4311|-36.9436|      0.1000| 0.33000|    107.266|          0.81000|    6.32790e-04|          9.85250e-08|
|GRB140619475|GRB140619B|2014-06-19 11:24:40.003|236.4670| 21.0764|      0.2000|        |      2.816|          0.81000|    1.54590e-06|          6.95370e-08|
|GRB181225489|GRB181225A|2018-12-25 11:44:09.997| 65.2300|-60.6984|      0.0880|        |     41.473|          2.86200|    2.80510e-06|          2.95990e-08|
|GRB140104731|GRB140104B|2014-01-04 17:32:03.002|341.3468| 46.0219|      0.1800|        |    187.137|          2.99600|    2.32840e-05|          5.84310e-08|
|GRB140206275|GRB140206B|2014-02-06 06:36:12.001| 40.1247|-32.7317|      0.0800|        |    146.690|          4.41900|    1.23080e-04|          2.78220e-07|
|GRB170409112|GRB170409A|2017-04-09 02:42:00.000| 67.9879|-58.7652|      0.1000|        |     64.001|          0.72400|    2.94740e-04|          7.50990e-08|
|GRB160310016|GRB160310A|2016-03-10 00:22:58.002|217.4449| -6.8542|      0.0600|        |     25.856|          2.82800|    5.24880e-06|          4.13810e-08|
|GRB170228794|GRB170228A|2017-02-28 19:03:00.000|  3.3754| 33.6273|      2.0200|        |     60.673|          2.11100|    2.04970e-05|          3.71520e-08|
|GRB170813051|GRB170813A|2017-08-13 01:13:07.997|316.7382| 56.5657|      0.7500|        |    111.872|          4.87100|    3.62640e-06|          3.56090e-08|
|GRB180914522|GRB180914A|2018-09-14 12:31:47.004|190.2954|-46.2177|      0.3360|        |    122.370|          0.57200|    8.18690e-05|          4.60270e-08|
|GRB211018936|GRB211018A|2021-10-18 22:28:13.002|139.6188|-65.5827|      0.2700| 0.64000|    123.906|          0.36200|    1.53350e-04|          2.61170e-08|
|GRB140723067|GRB140723A|2014-07-23 01:36:30.001|335.5009| 54.6344|      0.5100|        |     56.320|          4.22200|    1.48570e-05|          9.71860e-08|
|GRB180720598|GRB180720B|2018-07-20 14:21:39.004| 94.9338|-63.1224|      0.1100| 0.65400|     48.897|          0.36200|    2.98530e-04|          9.02580e-08|
