GRBname     Trig_ID     Trig_time_met  Trig_time_UTC               RA_ground     DEC_ground     Image_position_err  Image_SNR     T90           T90_err       T50           T50_err       Evt_start_sincetrig  Evt_stop_sincetrig  pcode   Trigger_method               XRT_detection  comment                T90_start
----------  ----------  -------------  --------------------------  ------------  -------------  ------------------  ------------  ------------  ------------  ------------  ------------  -------------------  ------------------  ------  ---------------------------  -------------  ---------------------  ---------
GRB250108B  1280056     758024621.056  2025-01-08T10:23:06.198080  2.013113e+02  2.562394e+01   1.805891e+00        1.307424e+01  2.181120e+02  9.047834e+01  4.748800e+01  3.235386e+01  -239                 963                 0.8984  rate trigger                 Yes                                   -54.176
GRB250103B  1278865     757611892.544  2025-01-03T15:44:17.714260  N/A           N/A            N/A                 N/A           1.638400e+01  N/A           1.638400e+01  N/A           -240                 963                 0.0000  rate trigger                 Yes                                   0.0
GRB250101A  1278305     757430604.864  2025-01-01T13:22:50.046640  3.705689e+01  1.918044e+01   1.873714e+00        1.240345e+01  3.421600e+01  6.197666e+00  1.506800e+01  5.869903e+00  -240                 1101                0.4766  rate trigger                 Yes                                   0.52
GRB241229B  1277428     757129010.752  2024-12-29T01:36:15.955240  2.741396e+02  7.469430e+01   1.226982e+00        2.270946e+01  5.048000e+00  6.487527e-01  1.504000e+00  3.924488e-01  -240                 962                 0.3984  rate trigger                 Yes                                   -2.108
GRB241228A  1277277     757051069.952  2024-12-28T03:57:15.160580  3.448105e+02  1.860785e+01   7.598891e-01        4.502723e+01  8.068000e+00  5.332954e-01  2.552000e+00  6.997138e-02  -240                 1101                0.3906  rate trigger                 Yes                                   -4.344
GRB241218A  1275005     756173365.888  2024-12-18T00:08:51.156520  1.856864e+02  2.998587e+01   2.096417e+00        1.056488e+01  2.335200e+01  4.450433e+00  1.196400e+01  4.389630e+00  -520                 962                 0.5234  rate trigger                 Yes                                   -0.084
GRB241213A  1274039     755749174.848  2024-12-13T02:19:00.145500  1.161629e+02  3.526819e+01   7.554646e-01        4.540442e+01  8.132000e+00  1.735046e+00  2.312000e+00  1.388524e-01  -240                 962                 0.4219  rate trigger                 Yes                                   -3.852
GRB241209D  1273106     755434821.12   2024-12-09T10:59:46.438980  1.901030e+02  -2.886965e+00  8.669276e-01        3.730047e+01  6.400000e+01  1.600000e+01  1.600000e+01  1.600000e+01  -239                 963                 0.6562  rate trigger                 Yes                                   -15.12
GRB241209A  1273071     755415378.752  2024-12-09T05:35:44.072300  1.553654e+02  6.349293e+00   2.104227e+00        1.050890e+01  2.559999e-01  9.050968e-02  1.279999e-01  6.400001e-02  -240                 962                 0.6953  rate trigger                 Yes                                   -0.072
GRB241128A  1270999     754503308.864  2024-11-28T16:14:34.246600  2.737237e+02  3.349246e+01   2.413521e+00        8.639209e+00  2.376240e+02  1.549667e+01  2.159760e+02  2.081457e+02  -240                 962                 0.5234  rate trigger                 Yes                                   0.04
GRB241127A  1270788     754436630.848  2024-11-27T21:43:16.235160  3.279049e+02  -5.665301e+01  1.674661e+00        1.456205e+01  2.598800e+01  3.645852e+00  8.424000e+00  4.932703e+00  -61                  962                 1.0156  rate trigger                 Yes                                   -19.44
GRB241115A  1267921     753369539.584  2024-11-15T13:18:25.044040  8.677126e+01  -6.657301e-01  9.001586e-01        3.534898e+01  3.700000e+00  2.923577e+00  1.324000e+00  1.209297e-01  -739                 1263                0.7812  rate trigger                 Yes                                   -0.248
GRB241113A  1267501     753176928.32   2024-11-13T07:48:13.793200  1.657780e+01  -2.265901e+01  1.649477e+00        1.488071e+01  1.872000e+00  4.749947e-01  7.799999e-01  2.450795e-01  -239                 363                 0.9375  rate trigger                 Yes                                   0.056
GRB241030B  1263840     752006095.36   2024-10-30T18:34:20.913240  5.078349e+01  3.443726e+01   1.704678e+00        1.419713e+01  6.624000e+00  1.545057e+00  2.624000e+00  5.817490e-01  -239                 963                 0.1123  rate trigger                 Yes                                   -0.864
GRB241030A  1263718     751960117.568  2024-10-30T05:48:03.124380  3.432184e+02  8.043916e+01   1.121880e+00        2.580870e+01  1.734320e+02  5.190718e+00  4.592400e+01  1.000240e+00  -268                 963                 0.8047  rate trigger                 Yes                                   18.388
